"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 06, 2018","7,374.24","7,367.72","7,403.97","7,364.85","618.94K","0.10%"
"Dec 05, 2018","7,366.72","7,420.38","7,426.57","7,366.72","776.02K","-0.58%"
"Dec 04, 2018","7,409.58","7,409.51","7,459.22","7,397.47","1.22M","0.46%"
"Dec 03, 2018","7,375.45","7,303.75","7,387.92","7,303.75","759.40K","0.98%"
"Nov 30, 2018","7,304.08","7,271.38","7,312.25","7,271.38","1.34M","0.61%"
"Nov 29, 2018","7,259.86","7,263.17","7,269.98","7,234.99","1.64M","-0.01%"
"Nov 28, 2018","7,260.82","7,255.28","7,266.68","7,240.44","1.29M","0.18%"
"Nov 27, 2018","7,247.61","7,266.73","7,266.73","7,221.01","3.12M","-0.17%"
"Nov 26, 2018","7,259.94","7,308.57","7,308.57","7,250.72","1.90M","-0.62%"
"Nov 23, 2018","7,305.49","7,309.15","7,314.47","7,268.30","1.42M","-0.10%"
"Nov 22, 2018","7,312.88","7,293.83","7,312.88","7,273.28","730.16K","0.26%"
"Nov 21, 2018","7,293.83","7,313.93","7,313.93","7,287.71","1.18M","-0.12%"
"Nov 19, 2018","7,302.89","7,304.93","7,311.89","7,254.10","1.07M","0.11%"
"Nov 16, 2018","7,294.99","7,276.46","7,315.40","7,270.79","1.62M","0.12%"
"Nov 15, 2018","7,286.49","7,273.28","7,292.11","7,270.17","2.38M","0.19%"
"Nov 14, 2018","7,272.91","7,249.61","7,272.91","7,235.99","733.81K","0.27%"
"Nov 13, 2018","7,253.16","7,267.65","7,277.92","7,226.66","655.63K","-0.19%"
"Nov 12, 2018","7,267.01","7,255.71","7,287.71","7,247.15","678.78K","-0.11%"
"Nov 09, 2018","7,274.68","7,317.54","7,326.50","7,264.83","670.26K","-0.40%"
"Nov 08, 2018","7,303.98","7,341.35","7,350.17","7,302.82","246.92K","-0.39%"
"Nov 07, 2018","7,332.27","7,339.09","7,342.75","7,315.08","526.29K","-0.31%"
"Nov 06, 2018","7,355.17","7,389.61","7,389.61","7,335.95","424.26K","-0.50%"
"Nov 05, 2018","7,391.85","7,418.76","7,429.93","7,379.30","273.87K","-0.12%"
"Nov 02, 2018","7,400.93","7,396.62","7,420.38","7,388.59","325.13K","0.11%"
"Nov 01, 2018","7,393.09","7,419.45","7,431.90","7,382.03","417.94K","-0.09%"
"Oct 31, 2018","7,399.83","7,364.12","7,399.83","7,303.44","558.19K","0.80%"
"Oct 30, 2018","7,340.97","7,343.28","7,364.76","7,332.71","503.82K","-0.09%"
"Oct 29, 2018","7,347.53","7,357.23","7,370.61","7,324.62","809.16K","-0.13%"
"Oct 26, 2018","7,356.94","7,317.63","7,356.94","7,316.63","847.28K","0.53%"
"Oct 25, 2018","7,318.41","7,358.92","7,360.90","7,288.43","656.27K","-0.59%"
"Oct 24, 2018","7,361.66","7,450.80","7,450.80","7,328.48","429.73K","-1.03%"
"Oct 23, 2018","7,438.31","7,513.43","7,526.04","7,432.01","339.16K","-0.83%"
"Oct 22, 2018","7,500.51","7,518.80","7,525.33","7,481.92","336.75K","-0.08%"
"Oct 19, 2018","7,506.19","7,467.37","7,515.59","7,467.37","585.94K","0.64%"
"Oct 18, 2018","7,458.49","7,482.35","7,504.66","7,450.90","369.92K","-0.25%"
"Oct 17, 2018","7,477.00","7,544.78","7,555.09","7,462.82","390.98K","-0.84%"
"Oct 16, 2018","7,540.71","7,509.17","7,543.56","7,503.10","517.57K","0.48%"
"Oct 12, 2018","7,504.85","7,518.05","7,518.05","7,461.24","619.57K","-0.23%"
"Oct 11, 2018","7,522.01","7,576.86","7,585.34","7,498.29","550.00K","-0.78%"
"Oct 10, 2018","7,581.43","7,563.24","7,583.26","7,550.17","968.72K","0.31%"
"Oct 09, 2018","7,558.23","7,601.51","7,601.51","7,554.18","411.85K","-0.56%"
"Oct 08, 2018","7,600.71","7,599.40","7,621.49","7,576.66","328.45K","0.02%"
"Oct 05, 2018","7,599.24","7,574.87","7,599.24","7,533.64","753.95K","0.33%"
"Oct 04, 2018","7,574.37","7,632.98","7,632.98","7,538.54","1.33M","-0.73%"
"Oct 03, 2018","7,630.36","7,729.19","7,729.19","7,620.74","674.67K","-1.22%"
"Oct 02, 2018","7,724.83","7,770.27","7,776.40","7,724.17","945.53K","-0.79%"
"Oct 01, 2018","7,786.16","7,808.84","7,822.32","7,778.53","543.89K","-0.21%"
"Sep 28, 2018","7,802.20","7,801.59","7,827.36","7,771.12","1.29M","0.01%"
"Sep 27, 2018","7,801.67","7,835.47","7,837.41","7,785.67","855.55K","-0.26%"
"Sep 26, 2018","7,821.71","7,843.37","7,855.99","7,811.28","294.12K","-0.22%"
"Sep 25, 2018","7,838.96","7,844.05","7,844.05","7,817.27","244.06K","-0.05%"
"Sep 24, 2018","7,842.61","7,811.76","7,847.26","7,798.54","165.11K","0.35%"
"Sep 21, 2018","7,815.44","7,870.92","7,871.51","7,786.89","539.62K","-0.67%"
"Sep 20, 2018","7,868.51","7,924.49","7,932.59","7,863.06","477.54K","-0.70%"
