,SOTRAPIL,ref,ouverture,cloture
2019-09-11,,"13,990","14,000","14,000"
2019-09-12,,"14,000","14,100","14,100"
2019-09-13,,"14,100",,
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"14,100",,
2019-09-17,,"14,100",,
2019-09-18,,"14,100",,
2019-09-19,,"14,100","13,680","13,680"
2019-09-20,,"13,680",,
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"13,680","13,700","13,700"
2019-09-24,,"13,700","14,000","13,300"
2019-09-25,,"13,300","13,300","13,650"
2019-09-26,,"13,650","13,680","13,500"
2019-09-27,,"13,500","13,520","13,640"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"13,640","13,500","13,500"
2019-10-01,,"13,500","13,500","13,500"
2019-10-02,,"13,500","13,100","13,400"
2019-10-03,,"13,400","13,430","13,430"
2019-10-04,,"13,430","13,090","13,400"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"13,400","13,450","13,400"
2019-10-08,,"13,400",,
2019-10-09,,"13,400","13,200","13,010"
2019-10-10,,"13,010","13,000","12,990"
2019-10-11,,"12,990","12,990","12,800"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"12,800","12,620","12,630"
2019-10-15,,,,
2019-10-16,,"12,630","12,800","12,750"
2019-10-17,,"12,750","12,750","12,700"
2019-10-18,,"12,700","12,990","12,990"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"12,990","12,900","12,900"
2019-10-22,,"12,900","12,650","12,890"
2019-10-23,,"12,890","12,890","12,540"
2019-10-24,,"12,540","12,560","12,700"
2019-10-25,,"12,700","12,700","12,700"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"12,700","12,690","12,520"
2019-10-29,,"12,520","12,600","12,600"
2019-10-30,,"12,600","12,900","12,900"
2019-10-31,,"12,900","13,000","13,000"
2019-11-01,,"12,520","12,310","12,650"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"12,650","12,650","12,650"
2019-11-05,,"12,650","12,950","12,950"
2019-11-06,,"12,950","12,600","12,600"
2019-11-07,,"12,600","12,300","12,950"
2019-11-08,,"12,950","12,950","12,950"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"12,950",,
2019-11-12,,"12,950",,
2019-11-13,,"12,950","12,750","12,750"
2019-11-14,,"12,750","12,750","12,550"
2019-11-15,,"12,550","12,350","12,550"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"12,550",,
2019-11-19,,"12,550",,
2019-11-20,,"12,550","12,300","12,250"
2019-11-21,,"12,250","12,260","12,200"
2019-11-22,,"12,200","12,100","12,000"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"12,000","11,750","11,750"
2019-11-26,,"11,750","11,650","11,650"
2019-11-27,,"11,650","11,600","11,500"
2019-11-28,,"11,500","11,500","11,490"
2019-11-29,,"11,490","11,410","11,410"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"11,410","11,410","11,400"
2019-12-03,,"11,400","11,380","11,380"
2019-12-04,,"11,380","11,200","11,100"
2019-12-05,,"11,100","11,000","11,080"
2019-12-06,,"11,080","11,080","11,080"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"11,080","11,000","10,950"
2019-12-10,,"10,950","11,000","11,150"
2019-12-11,,"11,150","11,200","11,480"
2019-12-12,,"11,480","11,480","11,480"
2019-12-13,,"11,480","11,650","11,650"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"11,650","11,650","11,670"
2019-12-17,,"11,670","11,650","11,600"
2019-12-18,,"11,600","11,650","11,650"
2019-12-19,,"11,650","11,660","11,650"
2019-12-20,,"11,650","11,650","11,600"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"11,600","11,600","11,600"
2019-12-24,,"11,600","11,600","11,640"
2019-12-25,,"11,640","11,640","11,400"
2019-12-26,,"11,400","11,600","11,590"
2019-12-27,,"11,590","11,400","11,300"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"11,300","11,500","11,480"
2019-12-31,,"11,480","11,480","11,820"
2020-01-01,,,,
2020-01-02,,"11,820","11,980","11,900"
2020-01-03,,"11,900","11,900","11,900"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"11,900","11,700","11,600"
2020-01-07,,"11,600","11,550","11,600"
2020-01-08,,"11,600","11,600","11,600"
2020-01-09,,"11,600","11,580","11,500"
2020-01-10,,"11,500",,
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"11,500","11,350","11,180"
2020-01-14,,,,
2020-01-15,,"11,180","11,180","11,160"
2020-01-16,,"11,160","11,180","11,350"
2020-01-17,,"11,350","11,350","11,350"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"11,350","11,350","11,350"
2020-01-21,,"11,350","11,580","11,400"
2020-01-22,,"11,400","11,080","11,390"
2020-01-23,,"11,390","11,390","11,500"
2020-01-24,,"11,500","11,490","11,160"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"11,160","11,450","11,400"
2020-01-28,,"11,400","11,400","11,490"
2020-01-29,,"11,490","11,480","11,200"
2020-01-30,,"11,200","11,500","11,550"
2020-01-31,,"11,550","11,550","11,490"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"11,490","11,220","11,550"
2020-02-04,,"11,550","11,600","11,600"
2020-02-05,,"11,600","11,300","11,540"
2020-02-06,,"11,540","11,300","11,580"
2020-02-07,,"11,580","11,590","11,240"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"11,240","11,240","11,230"
2020-02-11,,"11,230","11,370","11,370"
2020-02-12,,"11,370","11,380","11,430"
2020-02-13,,"11,430","11,450","11,450"
2020-02-14,,"11,450","11,440","11,450"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"11,400","11,350","11,340"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"11,350","11,350","11,200"
2020-03-06,,"11,200","11,350","11,340"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"11,340","11,020","11,000"
2020-03-10,,"11,000","10,670","10,990"
2020-03-11,,"10,990","11,250","11,240"
2020-03-12,,"11,240","10,800","11,100"
2020-03-13,,"11,100","11,300","11,000"
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,"11,000","10,600","10,750"
