,BNA,ref,ouverture,cloture
2020-01-30,,"11,600","11,350","11,590"
2020-01-31,,"11,590","11,490","11,650"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"11,650","11,500","11,550"
2020-02-04,,"11,550","11,550","11,400"
2020-02-05,,"11,400","11,490","11,400"
2020-02-06,,"11,400","11,300","11,390"
2020-02-07,,"11,390","11,480","11,500"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"11,500","11,500","11,480"
2020-02-11,,"11,480","11,500","11,370"
2020-02-12,,"11,370","11,370","11,370"
2020-02-13,,"11,370","11,620","11,490"
2020-02-14,,"11,490","11,400","11,490"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"11,490","11,490","11,470"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
