,ATB,ref,ouverture,cloture
2019-06-13,,"3,820","3,990","4,050"
2019-06-14,,"4,050","4,230","4,000"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"4,000","4,000","3,940"
2019-06-18,,"3,940","4,000","4,140"
2019-06-19,,"4,140","4,170","4,100"
2019-06-20,,"4,100","4,050","4,070"
2019-06-21,,"4,070","4,100","4,070"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"4,070","4,070","4,190"
2019-06-25,,"4,190","4,200","4,350"
2019-06-26,,"4,350","4,350","4,610"
2019-06-27,,"4,610","4,810","4,340"
2019-06-28,,"4,340","4,360","4,580"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"4,580","4,580","4,500"
2019-07-02,,"4,500","4,500","4,630"
2019-07-03,,"4,630","4,660","4,790"
2019-07-04,,"4,790","4,810","5,020"
2019-07-05,,"5,020","5,050","5,170"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"5,170","5,200","5,480"
2019-07-09,,"5,480","5,620","5,700"
2019-07-10,,"5,700","5,700","5,700"
2019-07-11,,"5,700","5,700","5,700"
2019-07-12,,"5,700","5,700","5,650"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"5,650","5,650","5,500"
2019-07-16,,"5,500","5,490","5,300"
2019-07-17,,"5,300","5,190","5,040"
2019-07-18,,"5,040","4,890","4,750"
2019-07-19,,"4,750","4,610","4,480"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"4,480","4,420","4,290"
2019-07-23,,"4,210","4,030","4,150"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"4,280","4,300","4,290"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"4,200","4,300","4,200"
2019-07-31,,"4,200","4,320","4,290"
2019-08-01,,"4,290","4,290","4,260"
2019-08-02,,"4,260","4,260","4,250"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"4,250","4,350","4,470"
2019-08-06,,"4,470","4,560","4,740"
2019-08-07,,"4,740","4,780","4,970"
2019-08-08,,"4,970","5,000","4,780"
2019-08-09,,"4,780","4,780","4,640"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"4,640","4,640","4,700"
2019-08-15,,"4,700","4,700","4,680"
2019-08-16,,"4,680","4,690","4,610"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"4,610","4,520","4,520"
2019-08-20,,"4,520","4,400","4,400"
2019-08-21,,"4,400","4,390","4,510"
2019-08-22,,"4,510","4,640","4,770"
2019-08-23,,"4,770","4,910","4,920"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"4,920","4,920","4,920"
2019-08-27,,"4,920","4,900","4,900"
2019-08-28,,"4,900","4,880","4,950"
2019-08-29,,"4,950","4,890","4,810"
2019-08-30,,"4,810","4,950","4,900"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"4,900","4,880","4,760"
2019-09-03,,"4,760","4,760","4,720"
2019-09-04,,"4,720","4,600","4,860"
2019-09-05,,"4,860","4,730","4,860"
2019-09-06,,"4,860","4,720","4,840"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"4,800","4,710","4,780"
2019-09-12,,"4,780","4,700","4,700"
2019-09-13,,"4,700","4,700","4,800"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"4,800","4,750","4,660"
2019-09-17,,"4,660","4,660","4,700"
2019-09-18,,"4,700","4,600","4,600"
2019-09-19,,"4,600","4,500","4,700"
2019-09-20,,"4,700","4,680","4,730"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"4,730",,
2019-09-24,,"4,730","4,600","4,600"
2019-09-25,,"4,600","4,560","4,560"
2019-09-26,,"4,560","4,500","4,650"
2019-09-27,,"4,650","4,520","4,570"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"4,570","4,510","4,500"
2019-10-01,,"4,500","4,500","4,480"
2019-10-02,,"4,480","4,400","4,500"
2019-10-03,,"4,500","4,630","4,580"
2019-10-04,,"4,580","4,500","4,500"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"4,500","4,380","4,480"
2019-10-08,,"4,480","4,490","4,370"
2019-10-09,,"4,370","4,500","4,500"
2019-10-10,,"4,500","4,370","4,370"
2019-10-11,,"4,370","4,490","4,360"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"4,360","4,490","4,490"
2019-10-15,,,,
2019-10-16,,"4,490","4,360","4,360"
2019-10-17,,"4,360","4,250","4,250"
2019-10-18,,"4,250","4,130","4,400"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"4,400","4,450","4,390"
2019-10-22,,"4,390","4,260","4,300"
2019-10-23,,"4,300","4,400","4,290"
