,tijari,ref,ouverture,cloture
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"34,800","34,800","34,500"
2019-08-06,,"34,500","34,250","34,200"
2019-08-07,,"34,200","34,250","34,250"
2019-08-08,,"34,250","34,000","34,200"
2019-08-09,,"34,200","34,000","34,300"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"34,300","34,300","34,450"
2019-08-15,,"34,450","34,000","34,400"
2019-08-16,,"34,400","34,400","34,000"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"34,000","34,400","34,400"
2019-08-20,,"34,400","34,500","34,400"
2019-08-21,,"34,400","34,490","34,500"
2019-08-22,,"34,500","34,020","34,000"
2019-08-23,,"34,000","33,890","34,000"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"34,000","33,900","34,000"
2019-08-27,,"34,000","34,000","33,990"
2019-08-28,,"33,990","33,900","34,490"
2019-08-29,,"34,490","34,390","34,000"
2019-08-30,,"34,000","33,500","34,400"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"34,400","34,490","34,490"
2019-09-03,,"34,490","34,480","34,480"
2019-09-04,,"34,480","34,000","34,000"
2019-09-05,,"34,000","34,470","34,470"
2019-09-06,,"34,470","34,400","34,000"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"33,990","34,400","33,900"
2019-09-12,,"33,900","33,800","33,890"
2019-09-13,,"33,890","33,900","33,890"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"33,890","33,610","33,890"
2019-09-17,,"33,890","33,890","33,990"
2019-09-18,,"33,990","33,990","33,980"
2019-09-19,,"33,980","33,700","33,980"
2019-09-20,,"33,980","33,980","33,890"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"33,890","33,720","33,000"
2019-09-24,,"33,000","32,900","33,000"
2019-09-25,,"33,000","32,160","33,600"
2019-09-26,,"33,600","33,460","33,900"
2019-09-27,,"33,900","34,300","34,200"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"34,200","34,400","34,300"
2019-10-01,,"34,300","34,290","33,700"
2019-10-02,,"33,700","33,710","33,850"
2019-10-03,,"33,850","34,000","33,500"
2019-10-04,,"33,500","34,000","33,500"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"33,500","33,900","33,350"
2019-10-08,,"33,350","33,350","33,350"
2019-10-09,,"33,350","33,720","33,750"
2019-10-10,,"33,750","33,690","33,690"
2019-10-11,,"33,690","33,500","33,200"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"33,200","33,450","33,000"
2019-10-15,,,,
2019-10-16,,"33,000","33,200","33,640"
2019-10-17,,"33,640","33,650","33,900"
2019-10-18,,"33,900","34,000","33,900"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"33,900","33,890","33,700"
2019-10-22,,"33,700","33,700","33,300"
2019-10-23,,"33,300","33,700","33,300"
2019-10-24,,"33,300","33,300","33,000"
2019-10-25,,"33,000","33,200","32,970"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"32,970","32,510","32,880"
2019-10-29,,"32,880","32,880","32,000"
2019-10-30,,"32,000","31,050","32,000"
2019-10-31,,"32,000","32,000","32,000"
2019-11-01,,"32,000","32,000","32,000"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"32,000","32,000","32,000"
2019-11-05,,"32,000","31,800","31,800"
2019-11-06,,"31,800","31,820","32,000"
2019-11-07,,"32,000","31,900","31,900"
2019-11-08,,"31,900","31,900","32,000"
