,TELNET,ref,ouverture,cloture
2019-11-25,,"8,970","8,800","8,900"
2019-11-26,,"8,900","8,800","8,700"
2019-11-27,,"8,700","8,700","8,900"
2019-11-28,,"8,900","8,850","9,190"
2019-11-29,,"9,190","9,200","9,200"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"9,200","9,190","9,100"
2019-12-03,,"9,100","9,100","8,840"
2019-12-04,,"8,840","8,840","8,890"
2019-12-05,,"8,890","8,670","8,990"
2019-12-06,,"8,990","8,990","8,950"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"8,950","9,100","9,090"
2019-12-10,,"9,090","8,820","8,890"
2019-12-11,,"8,890","8,870","8,950"
2019-12-12,,"8,950","8,870","8,950"
2019-12-13,,"8,950","8,870","9,000"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"9,000","9,000","9,050"
2019-12-17,,"9,050","9,050","9,300"
2019-12-18,,"9,300","9,360","9,250"
2019-12-19,,"9,250","9,200","9,200"
2019-12-20,,"9,200","9,200","9,000"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"9,000","8,990","9,000"
2019-12-24,,"9,000","9,150","9,090"
2019-12-25,,"9,090","9,140","9,100"
2019-12-26,,"9,100","9,260","9,270"
2019-12-27,,"9,270","9,270","9,300"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"9,300","9,570","9,400"
2019-12-31,,"9,400","9,500","9,300"
2020-01-01,,,,
2020-01-02,,"9,300","9,250","9,200"
2020-01-03,,"9,200","9,100","9,000"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"9,000","9,000","8,940"
2020-01-07,,"8,940","8,900","8,860"
2020-01-08,,"8,860","8,860","8,800"
2020-01-09,,"8,800","8,800","8,750"
2020-01-10,,"8,750","8,750","8,760"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"8,760","8,600","8,760"
2020-01-14,,,,
2020-01-15,,"8,760","8,760","8,700"
2020-01-16,,"8,700","8,760","8,800"
2020-01-17,,"8,800","8,910","8,800"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"8,800","8,650","8,650"
2020-01-21,,"8,650","8,670","8,790"
2020-01-22,,"8,790","8,780","8,630"
2020-01-23,,"8,630","8,650","8,790"
2020-01-24,,"8,790","8,770","8,770"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"8,770","8,900","8,750"
2020-01-28,,"8,750","8,910","8,830"
2020-01-29,,"8,830","8,830","8,800"
2020-01-30,,"8,800","8,800","8,730"
2020-01-31,,"8,730","8,700","8,670"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"8,670","8,610","8,670"
2020-02-04,,"8,670","8,650","8,650"
2020-02-05,,"8,650","8,650","8,510"
2020-02-06,,"8,510","8,500","8,350"
2020-02-07,,"8,350","8,200","8,520"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"8,520","8,500","8,490"
2020-02-11,,"8,490","8,360","8,480"
2020-02-12,,"8,480","8,350","8,470"
2020-02-13,,"8,470","8,470","8,650"
2020-02-14,,"8,650","8,640","8,650"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
