,City Cars,ref,ouverture,cloture
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"10,050","10,050","10,050"
2019-08-27,,"10,050","10,050","10,050"
2019-08-28,,"10,050","10,040","9,800"
2019-08-29,,"9,800","9,800","10,050"
2019-08-30,,"10,050","10,040","10,000"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"10,000","10,040","10,040"
2019-09-03,,"10,040","10,050","10,040"
2019-09-04,,"10,040","10,000","10,000"
2019-09-05,,"10,000","10,000","9,950"
2019-09-06,,"9,950","10,050","10,000"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"9,990","9,990","10,000"
2019-09-12,,"10,000","10,050","10,050"
2019-09-13,,"10,050","10,050","10,050"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"10,050","10,000","10,000"
2019-09-17,,"10,000","9,900","10,000"
2019-09-18,,"10,000","9,900","9,900"
2019-09-19,,"9,900","9,900","9,900"
2019-09-20,,"9,900","10,000","10,000"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"7,500","7,500","7,500"
2019-09-24,,"7,500","7,490","7,450"
2019-09-25,,"7,450","7,480","7,600"
2019-09-26,,"7,600","7,400","7,550"
2019-09-27,,"7,550","7,570","7,500"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"7,500","7,400","7,450"
2019-10-01,,"7,450","7,450","7,450"
2019-10-02,,"7,450","7,420","7,420"
2019-10-03,,"7,420","7,350","7,420"
2019-10-04,,"7,420","7,400","7,380"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"7,380","7,380","7,380"
2019-10-08,,"7,380","7,380","7,380"
2019-10-09,,"7,380","7,210","7,210"
2019-10-10,,"7,210","7,300","7,350"
2019-10-11,,"7,350","7,300","7,280"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"7,280","7,080","7,260"
2019-10-15,,,,
2019-10-16,,"7,260","7,270","7,250"
2019-10-17,,"7,250","7,260","7,270"
2019-10-18,,"7,270","7,270","7,270"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"7,270","7,260","7,260"
2019-10-22,,"7,260","7,250","7,250"
2019-10-23,,"7,250","7,110","7,250"
2019-10-24,,"7,250","7,270","7,190"
2019-10-25,,"7,190","7,240","7,220"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"7,220","7,280","7,250"
2019-10-29,,"7,250","7,260","7,240"
2019-10-30,,"7,240","7,100","7,240"
2019-10-31,,"7,240","7,280","7,280"
2019-11-01,,"7,280","7,280","7,240"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"7,240","7,270","7,270"
2019-11-05,,"7,270","7,200","7,270"
2019-11-06,,"7,270","7,280","7,250"
2019-11-07,,"7,250","7,280","7,250"
2019-11-08,,"7,250","7,280","7,270"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"7,270","7,480","7,280"
2019-11-12,,"7,280","7,490","7,400"
2019-11-13,,"7,400","7,490","7,490"
2019-11-14,,"7,490","7,490","7,450"
2019-11-15,,"7,450","7,490","7,480"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"7,480","7,450","7,450"
2019-11-19,,"7,450",,
2019-11-20,,"7,450",,
2019-11-21,,"7,450","7,270","7,350"
2019-11-22,,"7,350","7,450","7,270"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"7,270","7,400","7,400"
2019-11-26,,"7,400","7,180","7,400"
2019-11-27,,"7,400","7,300","7,400"
2019-11-28,,"7,400","7,200","7,390"
2019-11-29,,"7,390",,
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"7,390",,
2019-12-03,,"7,390","7,440","7,440"
2019-12-04,,"7,440","7,440","7,400"
2019-12-05,,"7,400","7,440","7,350"
2019-12-06,,"7,350","7,440","7,440"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"7,440","7,300","7,400"
2019-12-10,,"7,400","7,440","7,400"
2019-12-11,,"7,400","7,350","7,350"
2019-12-12,,"7,350","7,400","7,400"
2019-12-13,,"7,400","7,350","7,390"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"7,390","7,310","7,390"
2019-12-17,,"7,390","7,300","7,350"
2019-12-18,,"7,350","7,350","7,350"
2019-12-19,,"7,350","7,150","7,350"
2019-12-20,,"7,350","7,400","7,400"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"7,400",,
2019-12-24,,"7,400","7,380","7,370"
2019-12-25,,"7,370",,
2019-12-26,,"7,370","7,350","7,340"
2019-12-27,,"7,340",,
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"7,340","7,340","7,300"
2019-12-31,,"7,300","7,340","7,330"
2020-01-01,,,,
2020-01-02,,"7,330","7,380","7,380"
2020-01-03,,"7,380","7,320","7,320"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"7,320","7,300","7,300"
2020-01-07,,"7,300","7,300","7,300"
2020-01-08,,"7,300","7,160","7,300"
2020-01-09,,"7,300","7,290","7,080"
2020-01-10,,"7,080","7,080","7,290"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"7,290","7,450","7,400"
2020-01-14,,,,
2020-01-15,,"7,400","7,390","7,390"
2020-01-16,,"7,390","7,340","7,340"
2020-01-17,,"7,340","7,300","7,320"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"7,320","7,340","7,300"
2020-01-21,,"7,300","7,290","7,430"
2020-01-22,,"7,430","7,440","7,660"
2020-01-23,,"7,660","7,700","7,600"
2020-01-24,,"7,600","7,670","7,500"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"7,500","7,600","7,480"
2020-01-28,,"7,480","7,490","7,500"
2020-01-29,,"7,500","7,500","7,500"
2020-01-30,,"7,500","7,300","7,500"
2020-01-31,,"7,500","7,530","7,550"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"7,550","7,500","7,500"
