,HANNIBAL LEASE,ref,ouverture,cloture
2020-01-01,,,,
2020-01-02,,"4,540",,
2020-01-03,,"4,540","4,600","4,600"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"4,600",,
2020-01-07,,"4,600","4,470","4,600"
2020-01-08,,"4,600","4,500","4,600"
2020-01-09,,"4,600","4,570","4,570"
2020-01-10,,"4,570","4,550","4,550"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"4,550",,
2020-01-14,,,,
2020-01-15,,"4,550",,
2020-01-16,,"4,550",,
2020-01-17,,"4,550","4,540","4,540"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"4,540","4,490","4,490"
2020-01-21,,"4,490","4,360","4,360"
2020-01-22,,"4,360",,
2020-01-23,,"4,360",,
2020-01-24,,"4,360","4,230","4,330"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"4,330",,
2020-01-28,,"4,330",,
2020-01-29,,"4,330",,
2020-01-30,,"4,330","4,360","4,360"
2020-01-31,,"4,360","4,360","4,620"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"4,620","4,600","4,890"
2020-02-04,,"4,890","5,000","4,990"
2020-02-05,,"4,990","5,060","5,040"
2020-02-06,,"4,850","4,970","4,970"
2020-02-07,,"4,970","5,000","5,000"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"4,830","4,970","4,970"
2020-02-11,,"4,970","4,880","4,880"
2020-02-12,,"4,880","4,670","4,670"
2020-02-13,,"4,670","4,530","4,530"
2020-02-14,,"4,530","4,660","4,660"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"4,670",,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"4,670",,
2020-03-06,,"4,670",,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"4,670",,
2020-03-10,,"4,670",,
2020-03-11,,"4,670",,
2020-03-12,,"4,530","4,400","4,400"
2020-03-13,,"4,400","4,270","4,500"
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,"4,500",,
2020-03-17,,"4,500",,
2020-03-18,,"4,500","4,630","4,630"
2020-03-19,,"4,630","4,750","4,750"
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,"4,750",,
2020-03-24,,"4,750",,
2020-03-25,,"4,750","4,850","4,830"
2020-03-26,,"4,830","4,950","4,950"
2020-03-27,,"4,950","5,000","5,000"
2020-03-28,,,,
2020-03-29,,,,
2020-03-30,,"5,000","5,150","5,150"
2020-03-31,,"5,150","5,250","5,250"
2020-04-01,,"5,250","5,350","5,350"
2020-04-02,,"5,350","5,450","5,450"
2020-04-03,,"5,450","5,500","5,500"
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,"5,500",,
2020-04-07,,"5,500",,
2020-04-08,,"5,500",,
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,"5,500","5,660","5,660"
2020-04-14,,"5,660","5,800","5,800"
2020-04-15,,"5,800","5,940","5,940"
2020-04-16,,"5,940","5,990","5,990"
2020-04-17,,"5,990",,
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,"5,990",,
2020-04-21,,"5,990",,
2020-04-22,,"5,990",,
2020-04-23,,"5,990",,
2020-04-24,,"5,990",,
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,"5,990",,
2020-04-28,,"5,990","5,820","5,820"
2020-04-29,,"5,820",,
2020-04-30,,"5,820","5,990","5,990"
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,"5,990",,
2020-05-05,,"5,990",,
2020-05-06,,"5,990","5,850","5,900"
2020-05-07,,"5,900",,
2020-05-08,,"5,900","5,730","5,730"
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,"5,730",,
2020-05-12,,"5,730",,
2020-05-13,,"5,730",,
2020-05-14,,"5,730","5,600","5,600"
2020-05-15,,"5,600","5,760","5,690"
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,"5,690","5,630","5,590"
2020-05-19,,"5,520",,
2020-05-20,,"5,520","5,450","5,450"
2020-05-21,,"5,450",,
2020-05-22,,"5,450",,
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,"5,450","5,330","5,610"
2020-05-27,,"5,610","5,730","5,730"
2020-05-28,,"5,730","5,860","5,860"
2020-05-29,,"5,860","5,980","5,980"
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,"5,980",,
2020-06-03,,,,
2020-06-04,,"5,980","5,920","5,920"
2020-06-05,,"5,920","5,940","5,940"
2020-06-06,,,,
2020-06-07,,,,
2020-06-08,,"5,940",,
2020-06-09,,"5,940",,
2020-06-10,,"5,940",,
2020-06-11,,"5,940",,
2020-06-12,,"5,940",,
2020-06-13,,,,
2020-06-14,,,,
2020-06-15,,"5,940",,
2020-06-16,,"5,940","5,770","5,770"
2020-06-17,,"5,770","5,770","5,770"
2020-06-18,,"5,770",,
2020-06-19,,"5,770",,
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,"5,770","5,600","5,600"
2020-06-23,,"5,600",,
2020-06-24,,"5,600","5,600","5,600"
2020-06-25,,"5,600",,
2020-06-26,,"5,600","5,590","5,600"
2020-06-27,,,,
2020-06-28,,,,
