,STAR,ref,ouverture,cloture
2019-03-21,,"144,690","140,350","148,900"
2019-03-22,,"148,900","148,500","148,350"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"148,350",,
2019-03-26,,"148,350","143,900","140,100"
2019-03-27,,"140,100","144,000","140,300"
2019-03-28,,,,
2019-03-29,,"140,300","141,300","140,010"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"140,010","140,010","138,000"
2019-04-02,,"138,000","140,000","140,000"
2019-04-03,,"140,000","140,000","140,000"
2019-04-04,,"140,000","135,800","140,000"
2019-04-05,,"140,000","144,000","143,990"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"143,990","139,680","144,190"
2019-04-09,,,,
2019-04-10,,"144,190","144,000","144,000"
2019-04-11,,"144,000","139,680","139,680"
2019-04-12,,"139,680","140,000","140,000"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"140,000","139,900","141,500"
2019-04-16,,"141,500","139,000","141,390"
2019-04-17,,"141,390","137,150","137,500"
2019-04-18,,"137,500","133,510","133,510"
2019-04-19,,"133,510","133,510","137,510"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"137,510","141,100","135,000"
2019-04-23,,"135,000","132,000","135,000"
2019-04-24,,"135,000","135,000","135,000"
2019-04-25,,"135,000","132,000","132,000"
2019-04-26,,"132,000","132,000","132,000"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"132,000",,
2019-04-30,,"132,000","137,940","137,850"
2019-05-01,,,,
2019-05-02,,"137,850","138,900","138,900"
2019-05-03,,"138,900","138,900","138,900"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"138,900","135,000","135,000"
2019-05-07,,"135,000","130,960","134,850"
2019-05-08,,"134,850","134,850","138,750"
2019-05-09,,"138,750","140,000","135,000"
2019-05-10,,"135,000","135,000","135,000"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"135,000","132,000","132,000"
2019-05-14,,"132,000","135,000","132,000"
2019-05-15,,"128,920",,
2019-05-16,,"128,920",,
2019-05-17,,"128,920","132,490","132,500"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"132,500",,
2019-05-21,,"132,500","129,000","132,000"
2019-05-22,,"132,000","130,000","130,000"
2019-05-23,,"130,000","130,000","131,000"
2019-05-24,,"131,000","131,000","134,900"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"134,900","138,900","138,900"
2019-05-28,,"138,900",,
2019-05-29,,"138,900",,
2019-05-30,,"138,900",,
2019-05-31,,"138,900","135,000","138,000"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"138,000",,
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"138,000","137,990","137,000"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"137,000",,
2019-06-11,,,,
2019-06-12,,"137,000",,
2019-06-13,,"137,000",,
2019-06-14,,"137,000","130,840","135,000"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"135,000","134,000","138,000"
2019-06-18,,"138,000","138,000","143,000"
2019-06-19,,"143,000","141,500","141,500"
2019-06-20,,"141,500",,
2019-06-21,,"141,500","140,000","140,000"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"140,000","139,000","141,000"
2019-06-25,,"141,000",,
2019-06-26,,"141,000","136,500","135,800"
2019-06-27,,"135,800","131,730","131,730"
2019-06-28,,"131,730","131,740","131,800"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"131,800",,
2019-07-02,,"131,800","134,900","134,700"
2019-07-03,,"134,700","134,600","135,000"
2019-07-04,,"135,000",,
2019-07-05,,"135,000",,
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"135,000","136,990","136,990"
2019-07-09,,"136,990","138,490","138,500"
2019-07-10,,"138,500","138,490","138,490"
2019-07-11,,"138,490",,
2019-07-12,,"138,490",,
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"138,490","138,400","138,490"
2019-07-16,,"138,490","132,260","138,000"
2019-07-17,,"138,000",,
2019-07-18,,"138,000","137,000","138,000"
2019-07-19,,"138,000",,
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"138,000","134,000","138,000"
2019-07-23,,"138,000","138,000","138,000"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"138,000",,
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"138,000",,
2019-07-31,,"138,000",,
2019-08-01,,"138,000",,
2019-08-02,,"138,000",,
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"138,000",,
2019-08-06,,"138,000",,
2019-08-07,,"138,000",,
2019-08-08,,"131,790","134,000","130,000"
2019-08-09,,"130,000",,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"130,000",,
2019-08-15,,"130,000",,
2019-08-16,,"130,000","132,000","132,000"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"132,000",,
