,ESSOUKNA,ref,ouverture,cloture
2019-07-29,,,,
2019-07-30,,"2,360",,
2019-07-31,,"2,360",,
2019-08-01,,"2,360",,
2019-08-02,,"2,360",,
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"2,360",,
2019-08-06,,"2,360",,
2019-08-07,,"2,360","2,290","2,290"
2019-08-08,,"2,290","2,320","2,320"
2019-08-09,,"2,320",,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"2,320",,
2019-08-15,,"2,320",,
2019-08-16,,"2,220","2,190","2,130"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"2,130","2,120","2,060"
2019-08-20,,"2,060","2,040","2,040"
2019-08-21,,"2,040","1,990","1,980"
2019-08-22,,"1,980",,
2019-08-23,,"1,980","1,930","1,980"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"1,980",,
2019-08-27,,"1,980","1,980","1,980"
2019-08-28,,"1,980","1,980","1,980"
2019-08-29,,"1,980",,
2019-08-30,,"1,980",,
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"1,980","1,930","2,050"
2019-09-03,,"2,050","2,050","1,990"
2019-09-04,,"1,990","2,030","2,030"
2019-09-05,,"2,030",,
2019-09-06,,"2,030","2,000","2,000"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"2,000","2,000","2,000"
2019-09-12,,"2,000","2,000","2,000"
2019-09-13,,"2,000","2,000","2,000"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"2,000","2,000","2,000"
2019-09-17,,"2,000","2,000","2,000"
2019-09-18,,"2,000",,
2019-09-19,,"2,000","1,940","1,940"
2019-09-20,,"1,940","1,940","1,940"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"1,990","2,040","1,990"
2019-09-24,,"1,990","2,040","2,040"
2019-09-25,,"2,040","2,040","2,040"
2019-09-26,,"2,040",,
2019-09-27,,"2,040",,
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"2,040",,
2019-10-01,,"2,040",,
2019-10-02,,"1,950","1,940","1,990"
2019-10-03,,"1,990","2,000","2,000"
2019-10-04,,"2,000","2,000","2,040"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"2,040","2,040","1,980"
2019-10-08,,"1,980","1,980","1,980"
2019-10-09,,"1,980","1,930","2,030"
2019-10-10,,"2,030","2,000","2,030"
2019-10-11,,"2,030","2,030","2,030"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"2,030","2,030","2,040"
2019-10-15,,,,
2019-10-16,,"2,040","2,040","2,040"
2019-10-17,,"2,040","2,040","2,040"
2019-10-18,,"2,040","2,040","2,040"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"2,040","2,040","2,040"
2019-10-22,,"2,040","2,040","2,160"
2019-10-23,,"2,160","2,220","2,250"
2019-10-24,,"2,250","2,250","2,340"
2019-10-25,,"2,340","2,380","2,370"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"2,370","2,400","2,400"
2019-10-29,,"2,400","2,400","2,360"
2019-10-30,,"2,360","2,300","2,380"
2019-10-31,,"2,380","2,400","2,350"
2019-11-01,,"2,350","2,420","2,420"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"2,420","2,450","2,450"
2019-11-05,,"2,450",,
2019-11-06,,"2,450",,
2019-11-07,,"2,450",,
2019-11-08,,"2,450",,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"2,450",,
2019-11-12,,"2,380",,
2019-11-13,,"2,380",,
2019-11-14,,"2,310","2,210","2,350"
2019-11-15,,"2,350","2,370","2,370"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"2,370","2,370","2,370"
2019-11-19,,"2,370",,
2019-11-20,,"2,270","2,270","2,270"
2019-11-21,,"2,270","2,250","2,270"
2019-11-22,,"2,270","2,210","2,250"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"2,250","2,190","2,190"
2019-11-26,,"2,190","2,150","2,190"
2019-11-27,,"2,190","2,130","2,080"
2019-11-28,,"2,080","2,030","2,090"
2019-11-29,,"2,090","2,140","2,090"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"2,090","2,140","2,080"
2019-12-03,,"2,080","2,140","2,080"
2019-12-04,,"2,080","2,020","2,020"
2019-12-05,,"2,020","2,020","2,080"
2019-12-06,,"2,080","2,020","2,010"
2019-12-07,,,,
2019-12-08,,,,
